C++ Tutorial for Beginners - Full Course,freeCodeCamp.org,4,278000,https://www.youtube.com/watch?v=vLnPwxZdW4Y
C++ Programming Course - Beginner to Advanced,freeCodeCamp.org,31,142000,https://www.youtube.com/watch?v=8jLOx1hD3_o
