C++ Tutorial for Beginners - Learn C++ in 1 Hour,Programming with Mosh,1,89021,https://www.youtube.com/watch?v=ZzaPdXTrSb8
C++ Tutorial for Beginners - Full Course,freeCodeCamp.org,4,278000,https://www.youtube.com/watch?v=vLnPwxZdW4Y
